time,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18
0,233.05,307.75,298.84,438.65,429.74,420.14,466.74,468.8,499.64,363.95,602.44,548.98,420.83,378.34,431.79,429.74,500.32,315.97
30,937.56,254.29,1028.7,377.65,1149.32,1320.65,398.9,1228.13,1209.63,852.58,718.94,395.47,352.98,481.82,516.09,353.67,664.8,642.87
90,588.73,291.99,682.62,430.42,640.13,509.92,433.16,766.23,692.21,1347.38,1053.38,529.79,381.08,996.49,1056.12,385.88,1050.63,1358.34
120,446.18,292.67,618.88,363.26,433.85,342.7,398.21,659.32,541.44,619.57,781.3,523.63,444.81,468.11,762.12,466.74,670.28,1041.73
