time,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18
0,13.6,12.5,20.4,13.3,15.1,13.8,16,20,20,18.1,18.1,19.3,17.8,22.8,12.9,16.8,20.5,11.9
30,13.3,11.5,22.2,17.1,19.6,16.2,11.4,16.8,19.1,19.7,22.6,15.7,16.2,18.2,14.3,13.5,16.9,11.5
90,19,16.4,20.2,20.5,16.1,20.6,14.2,15.4,17.9,21.9,23.8,19.2,21,20,15,13.8,15.5,21.9
120,15.8,16.4,24.4,18.2,15.4,25.7,13.8,18.4,20.9,19.4,18.7,18.2,17.9,25,18.7,16.6,19.6,19.4
